feature,importance
Duration in Month,23.818649442322112
Status of Checking Account[A11],19.767088480320325
Status of Checking Account[A13],18.234387597543282
Status of Checking Account[A14],12.617362112420464
Credit History[A34],12.159400761648813
Credit History[A31],10.099629114715988
Age in Years,9.834813469587584
Installment Rate as % of Disposable Income,7.87245607880637
Property[A121],6.947060231026592
Credit History[A33],6.135772920306436
Property[A123],6.095668342472281
Status of Checking Account[A12],5.423400830187715
Present Employment Since[A75],4.514103391350971
Credit History[A30],4.408898747546722
Personal Status and Sex[A93],4.1801476713884895
Present Employment Since[A72],3.9366007715435343
Job[A173],3.7524205442789413
Housing[A152],3.6908204450051123
Personal Status and Sex[A94],3.5110999594021752
Housing[A151],3.453039581324117
Job[A171],3.122524506908706
Dependents,2.828687811962064
Telephone[A191],2.424228052776696
Telephone[A192],2.4242280527766935
Other Installment Plans[A142],2.1131458279572133
Property[A124],1.996488027171312
Job[A174],1.9934289658924027
Personal Status and Sex[A91],1.9364601235267072
Other Installment Plans[A143],1.8933862755417974
Personal Status and Sex[A92],1.7059628675747736
Savings Account/Bonds[A65],1.6968742409882918
Credit History[A32],1.6222171857718033
Present Employment Since[A71],1.6154834210404094
Present Employment Since[A74],1.4149476747285343
Property[A122],1.4107932529359772
Job[A172],1.3998001948147838
Housing[A153],1.2793830611476489
Savings Account/Bonds[A62],1.2534886913449101
Foreign Worker[A202],1.192032471491063
Foreign Worker[A201],1.1920324714910604
Savings Account/Bonds[A64],1.0710687858198658
Other Debtors/Guarantors[A103],0.9601976712777046
Credit Amount,0.8990510288915102
Purpose[A48],0.8911507755801372
Present Employment Since[A73],0.8724457575984397
Other Debtors/Guarantors[A101],0.673486724655239
Purpose[A43],0.6462388955518461
Other Installment Plans[A141],0.5697596695344888
Savings Account/Bonds[A63],0.46867369041521484
Purpose[A41],0.4421736627288616
Purpose[A42],0.4299698845132646
Number of Existing Credits at This Bank,0.3937813607571851
Present Residence Since,0.3369321806293013
Purpose[A45],0.2952915073315807
Purpose[A46],0.2564785754050293
Purpose[A49],0.2560471520914588
Purpose[A44],0.24526865232867237
Other Debtors/Guarantors[A102],0.16927211329303757
Purpose[A410],0.10894414268310933
Savings Account/Bonds[A61],0.05218457459149789
Purpose[A40],0.016945462419360673
Purpose[A47],0.0
Personal Status and Sex[A95],0.0
